"ASAL DAERAH", "ASAL SEKOLAH", "JALUR MASUK", "IPK", "IP1", "IP2", "IP3", "IP4", "IP5", "PESANTREN", "KETERANGAN"
jawa timur, man, mandiri ujian tulis, c, b, b, b, b, b, tidak, tidak tepat
jawa timur, mas, snmptn ujian tulis, b, c, c, b, b, c, tidak, tidak tepat
jawa timur, sman, mandiri ujian tulis, b, b, b, c, c, b, tidak, tidak tepat
madura, sman, snmptn ujian tulis, b, a, b, b, b, b, tidak, tidak tepat
jawa timur, man, mandiri ujian tulis, b, c, b, c, b, b, ya, tidak tepat
jawa barat, smks, snmptn ujian tulis, b, b, b, b, b, b, tidak, tidak tepat
jawa timur, mas, mandiri ujian tulis, b, c, b, c, b, b, ya, tidak tepat
jawa timur, man, mandiri ujian tulis, b, c, b, c, c, b, tidak, tidak tepat
jawa timur, mas, mandiri ujian tulis, b, b, c, b, b, c, ya, tidak tepat
jawa timur, mas, mandiri ujian tulis, b, b, b, b, b, b, ya, tidak tepat
jawa timur, man, snmptn undangan, b, b, b, b, b, b, tidak, tidak tepat
jawa timur, sman, mandiri prestasi, b, b, b, b, b, b, ya, tidak tepat
jawa timur, sman, mandiri ujian tulis, b, b, b, b, b, b, tidak, tidak tepat
jawa timur, sman, mandiri ujian tulis, c, b, c, b, b, c, tidak, tidak tepat
jawa timur, sman, mandiri ujian tulis, b, b, c, b, b, b, tidak, tidak tepat
sumatra, man, mandiri ujian tulis, b, b, b, c, b, c, ya, tidak tepat
sumatra, mas, mandiri ujian tulis, b, c, c, b, b, b, ya, tidak tepat
jawa timur, sman, mandiri ujian tulis, b, b, b, c, c, b, tidak, tidak tepat
jawa timur, sman, mandiri ujian tulis, b, b, c, b, b, c, tidak, tidak tepat
sumatra, sman, mandiri ujian tulis, b, b, b, c, c, b, tidak, tidak tepat
jawa timur, sman, mandiri ujian tulis, b, c, c, b, b, b, tidak, tidak tepat
jawa timur, smas, mandiri ujian tulis, b, d, c, b, b, c, tidak, tidak tepat
jawa timur, man, snmptn ujian tulis, b, b, b, b, b, c, ya, tidak tepat
jawa timur, sman, mandiri ujian tulis, b, d, c, b, b, b, tidak, tidak tepat
jawa timur, sman, mandiri prestasi, b, b, b, b, b, a, tidak, tidak tepat
jawa timur, man, mandiri ujian tulis, c, a, b, b, b, b, ya, tidak tepat
jawa timur, sman, snmptn ujian tulis, b, b, b, c, b, b, tidak, tidak tepat
jawa timur, sman, mandiri ujian tulis, b, c, b, b, b, c, ya, tidak tepat
sumatra, mas, mandiri ujian tulis, b, b, b, c, c, b, ya, tidak tepat
sumatra, man, mandiri ujian tulis, b, b, c, c, c, b, tidak, tidak tepat
jawa timur, sman, mandiri ujian tulis, b, b, c, c, b, b, tidak, tidak tepat
jawa timur, sman, mandiri ujian tulis, b, b, b, b, c, b, tidak, tidak tepat
jawa timur, man, mandiri ujian tulis, b, c, c, b, b, b, tidak, tidak tepat
jawa timur, sman, mandiri prestasi, b, b, b, c, b, b, tidak, tidak tepat
jawa timur, sman, snmptn undangan, b, c, b, b, b, b, tidak, tidak tepat
jawa timur, man, snmptn ujian tulis, b, c, b, c, b, b, tidak, tidak tepat
jawa timur, sman, mandiri ujian tulis, c, b, b, c, b, c, ya, tidak tepat
jawa timur, mas, mandiri ujian tulis, c, b, b, c, c, c, ya, tidak tepat
jawa timur, mas, mandiri ujian tulis, b, c, c, c, b, b, ya, tidak tepat
sumatra, mas, snmptn undangan, b, b, b, b, a, a, ya, tidak tepat
jawa timur, mas, mandiri ujian tulis, c, c, c, b, b, b, ya, tidak tepat
jawa timur, smas, mandiri ujian tulis, b, b, b, b, c, b, ya, tidak tepat
kalimantan, mas, mandiri ujian tulis, c, b, b, b, a, b, ya, tidak tepat
jawa timur, man, snmptn ujian tulis, b, b, b, b, b, b, tidak, tidak tepat
jawa timur, mas, snmptn ujian tulis, b, b, b, b, b, b, tidak, tepat waktu
jawa timur, man, mandiri ujian tulis, c, c, b, b, b, b, ya, tidak tepat
madura, smas, mandiri ujian tulis, b, b, b, c, c, b, ya, tidak tepat
jawa timur, mas, mandiri prestasi, c, b, b, b, a, a, tidak, tidak tepat
jawa timur, smas, mandiri ujian tulis, c, b, b, b, c, b, tidak, tidak tepat
jawa timur, smks, mandiri ujian tulis, c, c, c, b, b, b, ya, tidak tepat
jawa timur, mas, mandiri ujian tulis, c, b, b, b, c, b, tidak, tidak tepat
jawa timur, smkn, mandiri ujian tulis, b, c, c, b, b, b, ya, tidak tepat
jawa timur, man, mandiri ujian tulis, b, c, b, c, b, b, tidak, tidak tepat
jawa timur, smas, mandiri ujian tulis, b, c, c, b, c, b, tidak, tidak tepat
jawa timur, sman, mandiri ujian tulis, b, c, b, b, b, b, tidak, tidak tepat
jawa timur, man, snmptn ujian tulis, b, a, b, b, b, b, tidak, tidak tepat
jawa timur, sman, mandiri ujian tulis, b, c, c, b, c, b, tidak, tidak tepat
jawa timur, man, snmptn ujian tulis, b, b, b, b, b, a, ya, tidak tepat
jawa timur, man, snmptn undangan, b, b, b, b, b, b, tidak, tidak tepat
jawa timur, man, snmptn undangan, b, b, b, b, b, b, tidak, tidak tepat
jawa timur, man, mandiri ujian tulis, b, b, c, c, b, b, tidak, tidak tepat
jawa timur, sma, mandiri ujian tulis, b, c, b, b, b, b, ya, tidak tepat
jawa timur, sman, snmptn ujian tulis, b, b, b, c, c, b, tidak, tidak tepat
jawa timur, sman, mandiri ujian tulis, b, b, b, b, b, c, tidak, tidak tepat
madura, sman, mandiri ujian tulis, a, a, b, b, b, b, tidak, tepat waktu
jawa timur, mas, snmptn undangan, b, b, b, b, b, b, tidak, tepat waktu
jawa timur, sman, snmptn undangan, a, b, b, b, b, a, tidak, tepat waktu
madura, sman, mandiri ujian tulis, b, b, b, b, b, b, tidak, tepat waktu
jawa timur, sman, snmptn ujian tulis, b, b, b, b, b, b, tidak, tepat waktu
jawa timur, sman, snmptn undangan, b, b, b, a, b, b, tidak, tepat waktu
jawa timur, man, snmptn ujian tulis, b, b, b, b, b, b, tidak, tepat waktu
jawa timur, smks, spmb-ptaIn, b, a, b, b, b, b, ya, tepat waktu
jawa timur, smas, snmptn ujian tulis, b, b, b, b, b, b, tidak, tepat waktu
jawa timur, sman, snmptn ujian tulis, b, b, b, b, b, b, tidak, tidak tepat
jawa timur, smas, snmptn ujian tulis, b, b, b, b, b, a, ya, tidak tepat
jawa timur, sman, mandiri ujian tulis, b, c, c, b, b, c, ya, tidak tepat
jawa timur, sman, mandiri ujian tulis, b, b, c, c, b, b, ya, tidak tepat
jawa timur, smas, mandiri prestasi, b, b, b, b, b, a, tidak, tidak tepat
madura, smas, mandiri ujian tulis, b, c, c, b, b, b, ya, tidak tepat
